***|moderate
shithead|moderate
shitheads|moderate
shithole|moderate
shithouse|moderate
shiting|moderate
shitings|moderate
shits|moderate
shitspitter|moderate
shitstain|moderate
shitted|moderate
shitter|moderate
shitters |moderate
shittiest|moderate
shitting|moderate
shittings|moderate
shitty|moderate
shitty |moderate
shiz|mild
shiznit|mild
shoot|mild
shooter|moderate
shootings|moderate
shootout|moderate
shoots|mild
shove|mild
shpremes|mild
sht|moderate
sick|mild
sickening|mild
sickest|mild
sickly|mild
sicko|mild
sickos|mild
sillie|mild
silliness|mild
silly|mild
simpleton|mild
sissy|mild
skank|moderate
skeet|moderate
skinheads|moderate
skinned|mild
skullfuck|severe
slap|mild
slave|moderate
sleaze|mild
sleazebag|mild
sleazy|mild
slug|mild
slugs|mild
slut|moderate
slutbag|moderate
sluts|moderate
small-minded|mild
smallminded|mild
smeg|moderate
smegma|moderate
smells|mild
smelly|mild
smucks|mild
smut|mild
snake|mild
snakes|mild
snatch|moderate
snot|mild
snowflake|mild
snowflakes|mild
sobs|mild
socio-pathic|moderate
sociopath|moderate
sociopathic|moderate
sociopaths|moderate
son-of-a-bitch|moderate
sore-loser|mild
soreloser|mild
spac|severe
spewed|mild
spic|severe
spick|severe
spineless|mild
splooge|moderate
spook|moderate
spout|mild
spouting|mild
spouts|mild
spunk|moderate
spurt|moderate
squirt|moderate
stabs|moderate
stalker|moderate
stank|mild
std|mild
steal|mild
steals|mild
stench|mild
stewpid|mild
stfu|mild
stink|mild
stinker|mild
stinking|mild
stinks|mild
stinky|mild
stone-stupid|mild
stoned|mild
stonestupid|mild
stooges|mild
stooooopid|mild
strangle|moderate
strippers|mild
stupdity|mild
stupi|mild
stupib|mild
stupid|mild
stupida|mild
stupider|mild
stupidest|mild
stupidestpresidentever|mild
stupidfat|mild
stupididty|mild
stupidiest|mild
stupidiity|mild
stupidis|mild
stupidism|mild
stupidit's|mild
stupidity|mild
stupiditywhy|mild
stupidly|mild
stupids|mild
stupidselfish|mild
succcccccccccccccckkkkkk|mild
suck|mild
suckass|mild
sucked|mild
suckees|mild
sucker|mild
suckered|mild
suckers|mild
suckin|mild
sucking|mild
sucks|mild
sucky|mild
suffer|mild
suicide|moderate
supremacist|moderate
supremacists|moderate
swine|mild
sycophant|mild
sycophantic|mild
sycophants|mild
t1tt1e5|moderate
t1tties|moderate
tard|severe
teats|moderate
teets|moderate
teez|mild
terrible|mild
terribly|mild
terrorist|moderate
terrorists|moderate
terrorize|moderate
terrorizing|moderate
testical|mild
testicle|mild
testicles|mild
testicules|mild
thief|mild
thieves|mild
thieving|mild
thin-skinned|mild
thinskinned|mild
thoughtless|mild
threatened|moderate
threats|moderate
thug|mild
thugs|mild
thundercunt|severe
tit|moderate
tit-sucking|moderate
titfuck|severe
tits|moderate
titsucking|moderate
titt|moderate
tittie5|moderate
tittiefucker|severe
titties|moderate
tittyfuck|severe
tittywank|severe
titwank|severe
tonto|mild
